user_id,business_id,stars
0LzlRSXLhEsVSWFEvW_5yg,egky1j0WUGf97EU4fGXLgw,4
iTmWHtltCtk0Gm55AOxrUA,escSqSs7Gma9mu0CXkQIiA,4
UZhNbC4E31-Hjx7SVA3hdw,exyrJvzW0pXIfeWwJwYBvA,2
Xmuk68liVfhyG-WfsUt_hg,rgmptwPbBH1wLpiBHcbIhA,4
4cW3iQW6JD1C8VxYP0eyXg,Tfysaq2SdZAc5_TyPpuyLA,1
hru2IDwSyN61sgWPtJw_hA,LrDb1HZRiUSobVwmZKK8ww,2
hru2IDwSyN61sgWPtJw_hA,2X5G4Ujq0s4Wfn4TC7gX0g,5
go2dZIDfrEBqfsGKnA4m7g,JuaQPvvWdbJ1B1Tn0jIt1w,3
4tzuxIVry4xkOR9vbpgjrw,DQf154I5lrbJ_d_pSkiGJg,4
RWSBzkqH2-lsQDH8gVBuEw,TJo0LRUmc9Y1J05dM6fqiw,3
tAKjY3bQXH51msJbOHYPmQ,escSqSs7Gma9mu0CXkQIiA,4
f9LuLzqLMNJJoV3zmu6dBA,-XN4Oi0UCBK7rE3MsSXdqw,4
6VEID9yjoYWFZkUcP_GNBg,wQ3klyJeDhIQUIZS2X5r7Q,5
9HCfCmd0t5GErgm7He6AeQ,JKyWiuPDVJS4hUx-EPAXAA,4
0vCEI3ZJF_gXgWHpcR7WtA,zUzEjxKEn8eNVksImZ2oGw,4
0P58MD0FRVI6pTVKUpd7YA,-vVQyTVHitF6TOHGijVXxQ,4
MSuyK2p8G9hEqyWf5IgnYQ,rgmptwPbBH1wLpiBHcbIhA,5
UD7Y1CqfY6mDmRwIuCf6nA,FZMQgCGGYDEXcQhZslAHxw,4
iTmWHtltCtk0Gm55AOxrUA,rR_szXNwNQB-MgEoTElb8Q,4
UnGPr6ZnGe9YOSZRopnS5g,jSqhVWUquT3fGREmNdKdUA,5
F5WW6egmmUrIWRI_ZNpbEA,uBW3PIKqc-_eyG1_vdJn1w,4
hEk0VssowoyeEF2R0ZB-7w,x2ZMAyneUiBD6Sml0Fv2Xw,4
p3MF38R3Htt3ZWyPJMTFgQ,wlS-0nxpHQaFqv_iZ01fvw,5
f9LuLzqLMNJJoV3zmu6dBA,XtN9tcefxJtubhUSH_Xg3g,4
aJf2Efw3pilH26zmSn2lPw,WTSOPGECPOmq-PUxNiHptQ,3
SDlLqXn4IEtMzNwt9sV98w,QR_Nmup1tRj1WwooAKePbg,4
e7iHB7gZbVuD-UvJVKe3cQ,x8GTTMIAtUJ5EsIMnsOacQ,5
Nhvkukz5MECqEUQVfh6A6w,X7844DdJO4y2oVbcpxD-NA,4
So32N7bSbUd1RwhFtI6jTQ,TRLMm_deLvlPNmGNqRxcow,2
7PDm_RG8tTTKrauImGbPuQ,ifVVRWX3oEe2tPAcBLPrRw,4
Pc2ezRRHcXUXWXmZutQPeg,YbzUYOY_ZIYTWGNw8sbgHw,2
tH4brXlghqKn_9GbahrMTQ,qMWWQpMiMcV8jz_57cBB0w,5
59A-ZxUMOgIl2MAnySh-Aw,J2x_AMx591i6TK3xccEzqQ,4
ObYBbapQShoG4zjDR1gSXw,LMD-f6FMz8lF8QeSlie5kQ,4
FyCBkNXwoI_6X6apbslg4g,2UUkXa45Vgk_TfCP6kmfSw,4
L_1ldS4LQxCt7cVN1tfWAQ,k8Vih-WEeO5Jmilhbm2xmg,3
RSExP0-Boucr4QyIEzZi0A,2X5G4Ujq0s4Wfn4TC7gX0g,4
o9XGClSBzCsQxbcCzTPdnQ,AJ_tIT3N1SLLmlphsc94BA,4
6QhWTugzBJ3cdv2N4WZcSA,QnnssZJOLZquRp0hqeK1dA,4
0xIQG-NrqMx5id6yJpQp8Q,Z-BI5HJmC2HcpiVuXwVM3A,4
WzaaorVCmUTQvu4mScunNg,NMLtK_ZDHTD_UQ33-A-N0A,3
jaDTgMqh4DzoLJrMrW3JcA,C4GHQTB-G0R2Geov298GLw,5
lq1nrAfDoCXriVTCcFG6xQ,e7HwvsagBGIXXygZDuNMNQ,3
LhgQq1x4n9ardg1PFo8vgg,ffVx7PrC2JSfOq_DTW-vZQ,3
scIDar9VGDMcTOHbem37pg,jR7rDinCcHNZxl4jA0iKJQ,3
KR7R5PrrbMsLMsNcntHvAA,RjavzMXChoFWdsIZnfs5YQ,5
9HCfCmd0t5GErgm7He6AeQ,Tfysaq2SdZAc5_TyPpuyLA,3
hru2IDwSyN61sgWPtJw_hA,0QkkNagJaWllynycTF-fRQ,1
11Ydte1VfE85UHK24d4QRQ,WWbPM20A8agePy7-X_6AlA,3
7PDm_RG8tTTKrauImGbPuQ,cjD2yGRhT5yaSj_KP55Ptw,4
o9XGClSBzCsQxbcCzTPdnQ,xvGD0kqem6jJnbMs8_W4Uw,4
Vy6oxUFDSGCLmNA6GoA1tQ,TJo0LRUmc9Y1J05dM6fqiw,4
q7MrNVt1FE23rwtWmPYWHg,zdQtFKPC6FmF-fYqX73baA,5
hru2IDwSyN61sgWPtJw_hA,lzoHy4zrJ_avbJGO5HMOUQ,2
wCJbSEmMeZ0mAnJRQEyfCQ,3WgM6mvYrPDxGJ5fADSkUw,4
go2dZIDfrEBqfsGKnA4m7g,QR_Nmup1tRj1WwooAKePbg,5
DSWiwtUyWK1YwY8NBKDhGg,wlS-0nxpHQaFqv_iZ01fvw,4
UD7Y1CqfY6mDmRwIuCf6nA,bwu0cUZfksuu-uzTPrrl2A,5
FyCBkNXwoI_6X6apbslg4g,-b9ZUSmcsGxutDSW1DIbdA,3
DSWiwtUyWK1YwY8NBKDhGg,xk0Xss6LmF2Pxks0K2jrhQ,4
cMlY-nsvj9DCrv_lLVp5Fg,079g3KpS_7j_Zw53JmD9Vg,2
L6y73vaWaSvqYUKq6Rsr2w,fvhWfSPlx5J_3F-ScLpvXQ,2
L2ne7hSJDy0U6sBD8wVaQA,FAKevEJKD1D1Nccy6vccgA,3
57tPrvg7i2R3QjsxTiY-Xg,KeJEHK-3LCsA7S3HckOvMg,3
H4NhdCLWClmdNFe7ej7Njg,XZK4N683_sPkQ2MYyafD3Q,2
-la6YVHqiwf2fR8o617mBQ,jSqhVWUquT3fGREmNdKdUA,4
6QhWTugzBJ3cdv2N4WZcSA,--UE_y6auTgq3FXlvUMkbw,3
9cCTmiJ7hz35rHIdr8n9kA,rXb8s7TOx2-uWxzACEXcpg,5
WMTm9HHRA3EewoxTX1Gleg,52CzJDb4EakSjEQOUys77Q,2
nEYPahVwXGD2Pjvgkm7QqQ,UK51LgJRJ8_LUQQPZ5zfxw,2
Ce-qdUhoBy7hJQUulYStWA,Nui7Cnhrhrm4Ar2rcSHbIA,4
Q3fFv_ft17OyV-NRF1iQxw,TJo0LRUmc9Y1J05dM6fqiw,5
59A-ZxUMOgIl2MAnySh-Aw,w7VSMULJ9GtRi3CBRxoJtg,4
9OZH1Ecw-qUkCW5MS0NefA,2X5G4Ujq0s4Wfn4TC7gX0g,4
JLS56V5lhErpFUjZ8N8VrA,079g3KpS_7j_Zw53JmD9Vg,5
ulik60Aw4MMl3fKi78B_fg,m4LaTWm5vP01mGpFcqoPZw,2
gwnVSev8aNLvMArs3WTfFw,SsGNAc9U-aKPZccnaDtFkA,3
6QhWTugzBJ3cdv2N4WZcSA,WjUbSGtEShwpXZQFiEtD-w,3
jd5yWDLRt5NnwTZdPRAnuQ,1qUYk564SajvwTtkNM6KJA,3
RPJGvMZnlsQpk0l_QOK_FA,rellBaGc6G4mgcqSACGL5w,3
IqjFenVF7ofLICCug9DfgA,oN552ZjtfJWV7CMtftGrfA,4
9OZH1Ecw-qUkCW5MS0NefA,l-s0rNwp_qccC2M4Phz9Yw,4
jwKgiDjVEC8DPjG5NTGllg,YPoHtUq85TmNrBpqj_zmuA,2
